UNITID,INSTNM,CITY,STABBR,HIGHDEG,PREDDEG,CONTROL,HBCU,TUITFTE,AVGFACSAL,ADM_RATE,SATVR75,SATMT75,ACTCM75,COSTT4_A,NPT4_PRIV,UGDS,UG25ABV,PCTFLOAN_DCS,PCTPELL_DCS,DEBT_MDN,C100_4,RET_FT4,MD_EARN_WNE_5YR
100937,Birmingham-Southern College,Birmingham,AL,3,3,2,0,10340,7029,0.5717,670,610,29,35495,19723,968,0.017,0.6452,0.2277,16000,0.5854,0.7746,56625
101912,Oakwood University,Huntsville,AL,4,3,2,1,12279,4842,0.6805,NA,NA,NA,38377,19686,1378,0.1284,0.6477,0.4906,21500,0.3351,0.7706,51429
106342,Lyon College,Batesville,AR,3,3,2,0,10188,5817,0.5984,NA,NA,NA,44749,25183,489,0.0276,0.5934,0.3702,10699,0.3085,0.5072,45744
107080,Hendrix College,Conway,AR,4,3,2,0,9685,7889,0.6028,680,648,30,49928,22780,1127,0.0054,0.4483,0.2543,19500,0.6743,0.7905,49579
107512,Ouachita Baptist University,Arkadelphia,AR,4,3,2,0,10749,6735,0.7232,610,590,28,43878,23086,1587,0.014,0.6109,0.2486,15000,0.6174,0.7897,48168
112260,Claremont McKenna College,Claremont,CA,4,3,2,0,35957,15333,0.1035,760,790,35,78723,19489,1383,0.0021,0.1627,0.2008,11948,0.8318,0.9579,108186
115409,Harvey Mudd College,Claremont,CA,3,3,2,0,36122,14478,0.1336,770,790,36,82236,39671,906,0.0011,0.3646,0.1293,19500,0.8826,0.9733,154095
116846,American Jewish University,Los Angeles,CA,4,1,2,0,26331,11309,NA,NA,NA,NA,NA,NA,15,0.8125,0.2353,0.2353,18667,0.5,NA,41844
120254,Occidental College,Los Angeles,CA,3,3,2,0,32778,11782,0.394,750,760,34,77878,37334,1935,0.0041,0.3904,0.1717,19000,0.7729,0.8897,64966
121257,Pitzer College,Claremont,CA,3,3,2,0,57556,12023,0.184,NA,NA,NA,79558,40261,1212,0.0223,0.2303,0.107,13000,0.7761,0.888,51190
121345,Pomona College,Claremont,CA,3,3,2,0,23672,14220,0.0702,770,790,35,77810,18084,1699,0.0068,0.0711,0.1852,10000,0.8732,0.9623,73623
123165,Scripps College,Claremont,CA,4,3,2,0,39220,11906,0.2791,760,750,34,79740,33912,1073,0.0046,0.2246,0.1118,11853,0.7704,0.9051,68594
123457,Simpson University,Redding,CA,4,3,2,0,18778,7005,NA,NA,NA,NA,52041,24437,704,0.3195,0.6233,0.4335,13000,0.4138,0.6471,53928
124292,Thomas Aquinas College,Santa Paula,CA,3,3,2,0,16238,9803,0.8473,730,680,32,38428,27202,516,0.0161,0.672,0.2072,18000,0.8276,0.916,49062
125727,Westmont College,Santa Barbara,CA,3,3,2,0,19420,10155,0.8199,728,730,33,67000,31227,1284,0.0129,0.483,0.1898,19343,0.7011,0.861,61349
125763,Whittier College,Whittier,CA,4,3,2,0,19920,8676,0.7545,650,690,30,62130,26635,1124,0.0392,0.6232,0.3424,18125,0.6014,0.696,57770
126678,Colorado College,Colorado Springs,CO,4,3,2,0,37645,11843,0.163,730,750,33,79229,28892,2174,0.0018,0.2365,0.1397,13400,0.8289,0.9144,55071
128780,Charter Oak State College,New Britain,CT,4,3,1,0,8040,NA,NA,NA,NA,NA,18386,NA,1426,0.8722,0.4124,0.3859,12422,1,1,59956
128902,Connecticut College,New London,CT,3,3,2,0,24578,9804,0.404,750,740,33,79575,32664,1915,0.0055,0.3768,0.1613,20000,0.8136,0.872,66752
130590,Trinity College,Hartford,CT,4,3,2,0,33240,10943,0.3614,720,750,32,79605,37118,2141,0.0107,0.1369,0.1331,21000,0.7972,0.9002,79872
130697,Wesleyan University,Middletown,CT,4,3,2,0,33097,13221,0.1443,750,760,34,82245,28340,3006,0.0216,0.1955,0.1516,13824,0.8915,0.9538,73142
132602,Bethune-Cookman University,Daytona Beach,FL,4,3,2,1,6072,6832,0.8497,500,480,18,29551,15861,2628,0.0402,0.778,0.7632,22500,0.1783,0.5136,44885
133492,Eckerd College,Saint Petersburg,FL,3,3,2,0,23587,7551,0.6509,670,630,29,65354,31954,1986,0.0074,0.5064,0.2034,19500,0.6265,0.7686,47071
138600,Agnes Scott College,Decatur,GA,4,3,2,0,14874,9271,0.6652,700,650,31,58167,22358,923,0.0273,0.5587,0.4097,17750,0.6949,0.7907,50787
139153,Beulah Heights University,Atlanta,GA,4,3,2,0,14061,5789,NA,NA,NA,NA,NA,NA,143,0.9448,0.3043,0.3043,38980,0,0.5,NA
139393,Covenant College,Lookout Mountain,GA,4,3,2,0,16105,8009,0.8413,710,670,32,51713,24446,808,0.0092,0.475,0.2107,19000,0.6604,0.768,43240
140553,Morehouse College,Atlanta,GA,3,3,2,1,26543,6625,0.6001,NA,NA,25,48890,36836,2564,0.1088,0.5795,0.433,18500,0.397,0.7981,62234
140696,Oglethorpe University,Atlanta,GA,3,3,2,0,12765,7373,0.7099,650,655,29,57647,20638,1426,0.0512,0.7284,0.3838,14750,0.4683,0.7624,53234
140720,Paine College,Augusta,GA,3,3,2,1,12940,3663,0.5151,NA,NA,NA,27632,13486,299,0.1474,0.7469,0.7095,11000,0.0297,0.6056,37597
141060,Spelman College,Atlanta,GA,3,3,2,1,17670,9151,0.2839,NA,NA,NA,47717,38319,3098,0.0165,0.7712,0.4245,21750,0.6667,0.8942,57376
141361,Young Harris College,Young Harris,GA,4,3,2,0,8142,5734,0.7729,NA,NA,NA,44631,17890,837,0.0086,0.5975,0.3767,12000,0.4118,0.6788,46494
143084,Augustana College,Rock Island,IL,4,3,2,0,15256,8014,0.6122,630,620,28,59262,11780,2274,0.009,0.606,0.2167,26000,0.7446,0.8086,58348
144883,East-West University,Chicago,IL,3,3,2,0,10693,7209,NA,NA,NA,NA,29168,20438,529,0.1561,0.7105,0.7906,7334,0.0442,0.434,45989
145497,Hebrew Theological College,Skokie,IL,3,3,2,0,12099,3753,0.7143,NA,NA,NA,21196,13451,73,0.0353,0.2439,0.3049,9924,0.1591,0.9167,47563
145691,Illinois College,Jacksonville,IL,3,3,2,0,11627,7438,0.7718,560,566,26,46023,17512,1011,0.0583,0.8831,0.3989,14746,0.6357,0.7258,50547
146427,Knox College,Galesburg,IL,3,3,2,0,15027,7545,0.7332,720,700,32,63874,26205,1051,0.0216,0.5825,0.3026,23852,0.6647,0.8185,47902
146481,Lake Forest College,Lake Forest,IL,4,3,2,0,14769,8931,0.5972,670,670,31,65637,27904,1724,0.0295,0.7225,0.354,21500,0.7361,0.851,61366
147341,Monmouth College,Monmouth,IL,3,3,2,0,11536,6421,0.907,610,600,28,54707,19875,761,0.0093,0.7267,0.3293,20000,0.5088,0.7654,49373
148016,Principia College,Elsah,IL,3,3,2,0,6172,8486,0.4785,650,650,NA,NA,NA,316,0.0467,0,0,NA,0.5982,0.8228,NA
149781,Wheaton College,Wheaton,IL,4,3,2,0,20647,9678,0.8843,720,710,33,54537,26877,2141,0.0085,0.4707,0.2126,20000,0.7925,0.9024,58828
150400,DePauw University,Greencastle,IN,3,3,2,0,16418,9899,0.658,670,690,31,70394,25673,1732,0.0023,0.3413,0.1651,24733,0.7478,0.924,65357
150455,Earlham College,Richmond,IN,4,3,2,0,10227,7584,0.7324,710,670,32,62999,25496,589,0.0061,0.4288,0.2511,19500,0.662,0.7953,42038
150604,Franklin College,Franklin,IN,4,3,2,0,12805,6801,0.9286,590,580,25,49403,18419,859,0.0145,0.6898,0.4,18998,0.5872,0.7233,53315
150756,Hanover College,Hanover,IN,3,3,2,0,13880,8459,0.7411,650,620,29,55210,24059,949,0.004,0.5468,0.2759,19500,0.6656,0.779,49827
